id;categoria;descripcion;precio
0;bebidas alholicas;cerveza pilsen callao six pack lata 355 ml;23.9
1;bebidas alholicas;cerveza corona sixpack lata 355 ml;25.9
2;bebidas alholicas;cerveza pilsen callao six pack lata 473 ml;31.9
3;bebidas alholicas;cerveza pilsen callao six pack botella 305 ml;24.9
4;bebidas alholicas;cerveza stella artois six pack botella 330 ml;29.9
5;bebidas alholicas;cerveza budweiser six pack botella 343 ml;24.9
6;bebidas alholicas;cerveza tres cruces six pack lata 473 ml;24.9
7;bebidas alholicas;pack 02 cerveza coronita six pack botella 210 ml;41.8
8;bebidas alholicas;cerveza cristal six pack lata 355 ml;22.9
10;bebidas alholicas;cerveza cusque„±a doble malta six pack botella 310 ml;23.9
11;bebidas alholicas;cerveza cusque„±a dorada six pack botella 310 ml;23.9
12;bebidas alholicas;cerveza cusque„±a negra six pack botella 310 ml;23.9
13;bebidas alholicas;cerveza cusque„±a trigo six pack botella 310 ml;23.9
14;bebidas alholicas;bebida de ma„≠z golden sixpack lata 355 ml;16.9
15;bebidas alholicas;cerveza coronita six pack botella 210 ml;16.9
16;bebidas alholicas;cerveza cusque„±a dorada six pack lata 355 ml;26.9
17;bebidas alholicas;cerveza cusque„±a negra six pack lata 355 ml;26.9
18;bebidas alholicas;cerveza cusque„±a trigo six pack lata 355 ml;26.9
19;bebidas alholicas;cerveza heineken six pack botella 330 ml;25.9
24;bebidas alholicas;pack 02 cerveza cusque„±a dorada six pack lata 355 ml;55.8
25;bebidas alholicas;pack 02 cerveza cusque„±a negra six pack botella 310 ml;41.9
26;bebidas alholicas;pack 02 cerveza cusque„±a negra six pack lata 355 ml;55.8
27;bebidas alholicas;pack 02 cerveza cusque„±a trigo six pack lata 355 ml;55.8
28;bebidas alholicas;pack 02 cerveza cusque„±a trigo sixpack botella 310 ml;41.9
29;bebidas alholicas;pack 02 cerveza heineken six pack botella 330 ml;70
30;bebidas alholicas;pack 02 cerveza pilsen callao six pack lata 355 ml;53
31;bebidas alholicas;pack 02 cerveza pilsen callao sixpack botella 305 ml;47.8
35;bebidas alholicas;bebida de maiz golden sixpack lata 473 ml;18.9
36;bebidas alholicas;cerveza artesanal barbarian magic quinua lata 269 ml;6.9
37;bebidas alholicas;cerveza barbarian american 174 ipa 269 ml;8.4
38;bebidas alholicas;cerveza barbarian la nena wheat ale lata 269 ml;6.9
